player,opponent,games,p_elo,p_bayes,ci_lower,ci_upper,uncertainty,signal
wbcasz,wbcplayer,1,0.424,0.4,0.0676,0.8059,0.7383,-0.024
wbcasz,wbczoli,1,0.3742,0.4,0.0676,0.8059,0.7383,0.0258
wbcbb,wbcdeafbat,1,0.5627,0.6,0.1941,0.9324,0.7383,0.0373
wbcbb,wbcpurkys,1,0.6353,0.6,0.1941,0.9324,0.7383,-0.0353
wbcbb,wbcshpek,1,0.5617,0.6,0.1941,0.9324,0.7383,0.0383
wbcbb,wbcdistilfire,1,0.6072,0.6,0.1941,0.9324,0.7383,-0.0072
wbcbb,wbclojzeidon,1,0.5511,0.6,0.1941,0.9324,0.7383,0.0489
wbcbb,wbcperoxid,1,0.6264,0.6,0.1941,0.9324,0.7383,-0.0264
wbcbeetle,wbc3ifndef,1,0.5428,0.6,0.1941,0.9324,0.7383,0.0572
wbcbeetle,wbcdeafbat,1,0.5748,0.6,0.1941,0.9324,0.7383,0.0252
wbcbeetle,wbcpurkys,1,0.6467,0.6,0.1941,0.9324,0.7383,-0.0467
wbcbeetle,wbcshpek,1,0.5739,0.6,0.1941,0.9324,0.7383,0.0261
wbcbeetle,wbcdistilfire,1,0.619,0.6,0.1941,0.9324,0.7383,-0.019
wbcbeetle,wbciwbtc,1,0.5438,0.6,0.1941,0.9324,0.7383,0.0562
wbcbeetle,wbcmartez,1,0.5421,0.6,0.1941,0.9324,0.7383,0.0579
wbcbogimp,wbccoldmind,1,0.5289,0.6,0.1941,0.9324,0.7383,0.0711
wbcbogimp,wbcgeordie,1,0.5441,0.6,0.1941,0.9324,0.7383,0.0559
wbcbogimp,wbcrichi,1,0.5668,0.6,0.1941,0.9324,0.7383,0.0332
wbcbogimp,wbca,1,0.4357,0.4,0.0676,0.8059,0.7383,-0.0357
wbcbogimp,wbcc,1,0.4447,0.4,0.0676,0.8059,0.7383,-0.0447
wbcbogimp,wbcd,1,0.4336,0.4,0.0676,0.8059,0.7383,-0.0336
wbcbromozel,wbccoldmind,1,0.5909,0.6,0.1941,0.9324,0.7383,0.0091
wbcbromozel,wbcfuzaty,1,0.6035,0.6,0.1941,0.9324,0.7383,-0.0035
wbcbromozel,wbcseabow,1,0.6244,0.6,0.1941,0.9324,0.7383,-0.0244
wbcbromozel,wbcheater,1,0.5345,0.5,0.0943,0.9057,0.8114,-0.0345
wbcc,wbc366,1,0.6183,0.6,0.1941,0.9324,0.7383,-0.0183
wbcc,wbcbogimp,1,0.5553,0.6,0.1941,0.9324,0.7383,0.0447
wbcc,wbckakosik,1,0.6171,0.6,0.1941,0.9324,0.7383,-0.0171
wbcc,wbcset,1,0.5556,0.6,0.1941,0.9324,0.7383,0.0444
wbcc,wbcuida,1,0.5854,0.6,0.1941,0.9324,0.7383,0.0146
wbcc,wbciron,1,0.5319,0.6,0.1941,0.9324,0.7383,0.0681
wbcc,wbcmark,1,0.5563,0.6,0.1941,0.9324,0.7383,0.0437
wbcc,wbcyu20,1,0.5349,0.4,0.0676,0.8059,0.7383,-0.1349
wbcc,wbczoli,1,0.4691,0.4,0.0676,0.8059,0.7383,-0.0691
wbcciaran,wbcasz,1,0.5947,0.6,0.1941,0.9324,0.7383,0.0053
wbcciaran,wbcfojtman,1,0.594,0.6,0.1941,0.9324,0.7383,0.006
wbcciaran,wbclasek,1,0.5358,0.6,0.1941,0.9324,0.7383,0.0642
wbcciaran,wbcnirvana,1,0.5844,0.6,0.1941,0.9324,0.7383,0.0156
wbcciaran,wbcwonderwall,1,0.5536,0.6,0.1941,0.9324,0.7383,0.0464
wbcciaran,wbctasemnice,1,0.5644,0.5,0.0943,0.9057,0.8114,-0.0644
wbccoldmind,wbcpurkys,1,0.5451,0.6,0.1941,0.9324,0.7383,0.0549
wbccoldmind,wbckakosik,1,0.5348,0.6,0.1941,0.9324,0.7383,0.0652
wbccoldmind,wbcdeafbat,1,0.4695,0.5,0.0943,0.9057,0.8114,0.0305
wbccoldmind,wbcshpek,1,0.4685,0.5,0.0943,0.9057,0.8114,0.0315
wbccoldmind,wbcbogimp,1,0.4711,0.4,0.0676,0.8059,0.7383,-0.0711
wbccoldmind,wbcalleb,1,0.4315,0.4,0.0676,0.8059,0.7383,-0.0315
wbccoldmind,wbcbromozel,1,0.4091,0.4,0.0676,0.8059,0.7383,-0.0091
wbccoldmind,wbcfurla,1,0.4211,0.4,0.0676,0.8059,0.7383,-0.0211
wbccoldmind,wbcset,1,0.4714,0.4,0.0676,0.8059,0.7383,-0.0714
wbccrosslet,wbcalleb,1,0.3996,0.4,0.0676,0.8059,0.7383,0.0004
wbccrosslet,wbcfurla,1,0.3895,0.4,0.0676,0.8059,0.7383,0.0105
wbccrosslet,wbcmk108,1,0.417,0.4,0.0676,0.8059,0.7383,-0.017
wbccsaba,wbcasz,1,0.4464,0.4,0.0676,0.8059,0.7383,-0.0464
wbccsaba,wbclasek,1,0.3881,0.4,0.0676,0.8059,0.7383,0.0119
wbccsaba,wbcnirvana,1,0.4359,0.4,0.0676,0.8059,0.7383,-0.0359
wbccsaba,wbcpangbai,1,0.3967,0.4,0.0676,0.8059,0.7383,0.0033
wbccsaba,wbcuida,1,0.4352,0.4,0.0676,0.8059,0.7383,-0.0352
wbccsaba,wbcyu20,1,0.3856,0.4,0.0676,0.8059,0.7383,0.0144
wbccsaba,wbcfojtman,1,0.4457,0.4,0.0676,0.8059,0.7383,-0.0457
wbccsaba,wbctasemnice,1,0.4159,0.4,0.0676,0.8059,0.7383,-0.0159
wbccsaba,wbcwonderwall,1,0.4053,0.4,0.0676,0.8059,0.7383,-0.0053
wbcd,wbc366,1,0.6289,0.6,0.1941,0.9324,0.7383,-0.0289
wbcd,wbcbogimp,1,0.5664,0.6,0.1941,0.9324,0.7383,0.0336
wbcd,wbchajnal,1,0.5654,0.6,0.1941,0.9324,0.7383,0.0346
wbcd,wbcset,1,0.5667,0.6,0.1941,0.9324,0.7383,0.0333
wbcd,wbcuida,1,0.5962,0.6,0.1941,0.9324,0.7383,0.0038
wbcd,wbciron,1,0.5431,0.6,0.1941,0.9324,0.7383,0.0569
wbcd,wbcmark,1,0.5674,0.6,0.1941,0.9324,0.7383,0.0326
wbcd,wbcyu20,1,0.5461,0.5,0.0943,0.9057,0.8114,-0.0461
wbcd,wbczoli,1,0.4803,0.4,0.0676,0.8059,0.7383,-0.0803
wbcdeafbat,wbcgenghis,1,0.5105,0.6,0.1941,0.9324,0.7383,0.0895
wbcdeafbat,wbcmichi,1,0.5333,0.6,0.1941,0.9324,0.7383,0.0667
wbcdeafbat,wbcgeordie,1,0.5456,0.6,0.1941,0.9324,0.7383,0.0544
wbcdeafbat,wbcrichi,1,0.5684,0.6,0.1941,0.9324,0.7383,0.0316
wbcdeafbat,wbccoldmind,1,0.5305,0.5,0.0943,0.9057,0.8114,-0.0305
wbcdeafbat,wbcbb,1,0.4373,0.4,0.0676,0.8059,0.7383,-0.0373
wbcdeafbat,wbcbeetle,1,0.4252,0.4,0.0676,0.8059,0.7383,-0.0252
wbcdeafbat,wbcg3m,1,0.4106,0.4,0.0676,0.8059,0.7383,-0.0106
wbcdeafbat,wbcpuholek,1,0.4155,0.4,0.0676,0.8059,0.7383,-0.0155
wbcdistilfire,wbc1211,1,0.5207,0.6,0.1941,0.9324,0.7383,0.0793
wbcdistilfire,wbcplayer,1,0.4218,0.6,0.1941,0.9324,0.7383,0.1782
wbcdistilfire,wbcangst,1,0.4863,0.5,0.0943,0.9057,0.8114,0.0137
wbcdistilfire,wbcbb,1,0.3928,0.4,0.0676,0.8059,0.7383,0.0072
wbcdistilfire,wbcbeetle,1,0.381,0.4,0.0676,0.8059,0.7383,0.019
wbcdistilfire,wbcpeaceman,1,0.4359,0.4,0.0676,0.8059,0.7383,-0.0359
wbcdistilfire,wbcquantum,1,0.3899,0.4,0.0676,0.8059,0.7383,0.0101
wbcdistilfire,wbcsiwer,1,0.4647,0.4,0.0676,0.8059,0.7383,-0.0647
wbcdistilfire,wbcnguyenminh,1,0.3821,0.4,0.0676,0.8059,0.7383,0.0179
wbcfojtman,wbccsaba,1,0.5543,0.6,0.1941,0.9324,0.7383,0.0457
wbcfojtman,wbctorpe,1,0.555,0.6,0.1941,0.9324,0.7383,0.045
wbcfojtman,wbc3ifndef,1,0.4252,0.4,0.0676,0.8059,0.7383,-0.0252
wbcfojtman,wbcciaran,1,0.406,0.4,0.0676,0.8059,0.7383,-0.006
wbcfojtman,wbciron,1,0.4355,0.4,0.0676,0.8059,0.7383,-0.0355
wbcfojtman,wbczoli,1,0.3749,0.4,0.0676,0.8059,0.7383,0.0251
wbcfojtman,wbciwbtc,1,0.4261,0.4,0.0676,0.8059,0.7383,-0.0261
wbcfojtman,wbcmartez,1,0.4245,0.4,0.0676,0.8059,0.7383,-0.0245
wbcfurla,wbccoldmind,1,0.5789,0.6,0.1941,0.9324,0.7383,0.0211
wbcfurla,wbcangst,1,0.5806,0.6,0.1941,0.9324,0.7383,0.0194
wbcfurla,wbccrosslet,1,0.6105,0.6,0.1941,0.9324,0.7383,-0.0105
wbcfurla,wbckremufka,1,0.5306,0.6,0.1941,0.9324,0.7383,0.0694
wbcfurla,wbcfuzaty,1,0.5916,0.6,0.1941,0.9324,0.7383,0.0084
wbcfurla,wbcseabow,1,0.6127,0.6,0.1941,0.9324,0.7383,-0.0127
wbcfurla,wbcheater,1,0.5221,0.5,0.0943,0.9057,0.8114,-0.0221
wbcfurla,wbcsiwer,1,0.5593,0.5,0.0943,0.9057,0.8114,-0.0593
wbcfurla,wbcmatiss,1,0.4829,0.4,0.0676,0.8059,0.7383,-0.0829
wbcfuzaty,wbcbromozel,1,0.3965,0.4,0.0676,0.8059,0.7383,0.0035
wbcfuzaty,wbcfurla,1,0.4084,0.4,0.0676,0.8059,0.7383,-0.0084
wbcg3m,wbcadelstepan,1,0.6333,0.6,0.1941,0.9324,0.7383,-0.0333
wbcg3m,wbcdeafbat,1,0.5894,0.6,0.1941,0.9324,0.7383,0.0106
wbcg3m,wbc3ifndef,1,0.5576,0.6,0.1941,0.9324,0.7383,0.0424
wbcg3m,wbciwbtc,1,0.5586,0.6,0.1941,0.9324,0.7383,0.0414
wbcg3m,wbcmartez,1,0.5569,0.6,0.1941,0.9324,0.7383,0.0431
wbcg3m,wbcpurkys,1,0.6602,0.6,0.1941,0.9324,0.7383,-0.0602
wbcg3m,wbcshpek,1,0.5884,0.6,0.1941,0.9324,0.7383,0.0116
wbcg3m,wbcskoupy,1,0.655,0.6,0.1941,0.9324,0.7383,-0.055
wbcg3m,wbcvotocek,1,0.6122,0.6,0.1941,0.9324,0.7383,-0.0122
wbcgenghis,wbcadelstepan,1,0.5356,0.6,0.1941,0.9324,0.7383,0.0644
wbcgenghis,wbcpurkys,1,0.5648,0.6,0.1941,0.9324,0.7383,0.0352
wbcgenghis,wbcskoupy,1,0.5592,0.6,0.1941,0.9324,0.7383,0.0408
wbcgenghis,wbcvotocek,1,0.5132,0.6,0.1941,0.9324,0.7383,0.0868
wbcgenghis,wbcdeafbat,1,0.4895,0.4,0.0676,0.8059,0.7383,-0.0895
wbcgenghis,wbc3ifndef,1,0.4571,0.4,0.0676,0.8059,0.7383,-0.0571
wbcgenghis,wbciwbtc,1,0.4581,0.4,0.0676,0.8059,0.7383,-0.0581
wbcgenghis,wbcmartez,1,0.4564,0.4,0.0676,0.8059,0.7383,-0.0564
wbcgenghis,wbcshpek,1,0.4885,0.4,0.0676,0.8059,0.7383,-0.0885
wbcgeordie,wbcpurkys,1,0.5299,0.6,0.1941,0.9324,0.7383,0.0701
wbcgeordie,wbckakosik,1,0.5196,0.5,0.0943,0.9057,0.8114,-0.0196
wbcgeordie,wbcbogimp,1,0.4559,0.4,0.0676,0.8059,0.7383,-0.0559
wbcgeordie,wbcalleb,1,0.4166,0.4,0.0676,0.8059,0.7383,-0.0166
wbcgeordie,wbcdeafbat,1,0.4544,0.4,0.0676,0.8059,0.7383,-0.0544
wbcgeordie,wbcshpek,1,0.4534,0.4,0.0676,0.8059,0.7383,-0.0534
wbcgeordie,wbcset,1,0.4562,0.4,0.0676,0.8059,0.7383,-0.0562
wbchajnal,wbcrichi,1,0.5678,0.6,0.1941,0.9324,0.7383,0.0322
wbchajnal,wbcd,1,0.4346,0.4,0.0676,0.8059,0.7383,-0.0346
wbcheater,wbcmk108,1,0.5065,0.6,0.1941,0.9324,0.7383,0.0935
wbcheater,wbcbromozel,1,0.4655,0.5,0.0943,0.9057,0.8114,0.0345
wbcheater,wbcfurla,1,0.4779,0.5,0.0943,0.9057,0.8114,0.0221
wbciron,wbcfojtman,1,0.5645,0.6,0.1941,0.9324,0.7383,0.0355
wbciron,wbcnirvana,1,0.5548,0.6,0.1941,0.9324,0.7383,0.0452
wbciron,wbcrostas,1,0.5323,0.6,0.1941,0.9324,0.7383,0.0677
wbciron,wbctasemnice,1,0.5345,0.6,0.1941,0.9324,0.7383,0.0655
wbciron,wbcwonderwall,1,0.5236,0.6,0.1941,0.9324,0.7383,0.0764
wbciron,wbca,1,0.4591,0.4,0.0676,0.8059,0.7383,-0.0591
wbciron,wbcc,1,0.4681,0.4,0.0676,0.8059,0.7383,-0.0681
wbciron,wbcd,1,0.4569,0.4,0.0676,0.8059,0.7383,-0.0569
wbciwbtc,wbcasz,1,0.5746,0.6,0.1941,0.9324,0.7383,0.0254
wbciwbtc,wbcgenghis,1,0.5419,0.6,0.1941,0.9324,0.7383,0.0581
wbciwbtc,wbcfojtman,1,0.5739,0.6,0.1941,0.9324,0.7383,0.0261
wbciwbtc,wbcpiggi,1,0.5973,0.6,0.1941,0.9324,0.7383,0.0027
wbciwbtc,wbctasemnice,1,0.5439,0.6,0.1941,0.9324,0.7383,0.0561
wbciwbtc,wbcmichi,1,0.5645,0.6,0.1941,0.9324,0.7383,0.0355
wbciwbtc,wbcnirvana,1,0.5641,0.6,0.1941,0.9324,0.7383,0.0359
wbciwbtc,wbcg3m,1,0.4414,0.4,0.0676,0.8059,0.7383,-0.0414
wbciwbtc,wbcbeetle,1,0.4562,0.4,0.0676,0.8059,0.7383,-0.0562
wbciwbtc,wbcpuholek,1,0.4464,0.4,0.0676,0.8059,0.7383,-0.0464
wbciwbtc,wbcquantum,1,0.4655,0.4,0.0676,0.8059,0.7383,-0.0655
wbckakosik,wbcgeordie,1,0.4804,0.5,0.0943,0.9057,0.8114,0.0196
wbckakosik,wbca,1,0.3744,0.4,0.0676,0.8059,0.7383,0.0256
wbckakosik,wbcc,1,0.3829,0.4,0.0676,0.8059,0.7383,0.0171
wbckakosik,wbccoldmind,1,0.4652,0.4,0.0676,0.8059,0.7383,-0.0652
wbckaktuszka,wbcasz,1,0.4458,0.4,0.0676,0.8059,0.7383,-0.0458
wbckaktuszka,wbclasek,1,0.3875,0.4,0.0676,0.8059,0.7383,0.0125
wbckaktuszka,wbcnirvana,1,0.4353,0.4,0.0676,0.8059,0.7383,-0.0353
wbckaktuszka,wbcpangbai,1,0.3962,0.4,0.0676,0.8059,0.7383,0.0038
wbckaktuszka,wbcuida,1,0.4346,0.4,0.0676,0.8059,0.7383,-0.0346
wbckaktuszka,wbcyu20,1,0.3851,0.4,0.0676,0.8059,0.7383,0.0149
wbckaktuszka,wbcpiggi,1,0.4691,0.4,0.0676,0.8059,0.7383,-0.0691
wbckaktuszka,wbctasemnice,1,0.4153,0.4,0.0676,0.8059,0.7383,-0.0153
wbckaktuszka,wbcwonderwall,1,0.4048,0.4,0.0676,0.8059,0.7383,-0.0048
wbckremufka,wbcalleb,1,0.48,0.6,0.1941,0.9324,0.7383,0.12
wbckremufka,wbcpangbai,1,0.5111,0.6,0.1941,0.9324,0.7383,0.0889
wbckremufka,wbcuida,1,0.5505,0.6,0.1941,0.9324,0.7383,0.0495
wbckremufka,wbcfurla,1,0.4694,0.4,0.0676,0.8059,0.7383,-0.0694
wbckremufka,wbcyu20,1,0.4994,0.4,0.0676,0.8059,0.7383,-0.0994
wbclasek,wbccsaba,1,0.6119,0.6,0.1941,0.9324,0.7383,-0.0119
wbclasek,wbckaktuszka,1,0.6125,0.6,0.1941,0.9324,0.7383,-0.0125
wbclasek,wbcmulan,1,0.5827,0.6,0.1941,0.9324,0.7383,0.0173
wbclasek,wbcciaran,1,0.4642,0.4,0.0676,0.8059,0.7383,-0.0642
wbclasek,wbcmartez,1,0.4832,0.4,0.0676,0.8059,0.7383,-0.0832
wbclojzeidon,wbc1211,1,0.5778,0.6,0.1941,0.9324,0.7383,0.0222
wbclojzeidon,wbcangst,1,0.5439,0.6,0.1941,0.9324,0.7383,0.0561
wbclojzeidon,wbcpeaceman,1,0.4932,0.6,0.1941,0.9324,0.7383,0.1068
wbclojzeidon,wbcsiwer,1,0.5223,0.6,0.1941,0.9324,0.7383,0.0777
wbclojzeidon,wbcplayer,1,0.4789,0.6,0.1941,0.9324,0.7383,0.1211
wbclojzeidon,wbcbb,1,0.4489,0.4,0.0676,0.8059,0.7383,-0.0489
wbclojzeidon,wbcpuholek,1,0.427,0.4,0.0676,0.8059,0.7383,-0.027
wbclojzeidon,wbcquantum,1,0.446,0.4,0.0676,0.8059,0.7383,-0.046
wbclojzeidon,wbcnguyenminh,1,0.4379,0.4,0.0676,0.8059,0.7383,-0.0379
wbcmark,wbcasz,1,0.5409,0.6,0.1941,0.9324,0.7383,0.0591
wbcmark,wbcpiggi,1,0.5641,0.6,0.1941,0.9324,0.7383,0.0359
wbcmark,wbca,1,0.4348,0.5,0.0943,0.9057,0.8114,0.0652
wbcmark,wbcc,1,0.4437,0.4,0.0676,0.8059,0.7383,-0.0437
wbcmark,wbcd,1,0.4326,0.4,0.0676,0.8059,0.7383,-0.0326
wbcmartez,wbcasz,1,0.5762,0.6,0.1941,0.9324,0.7383,0.0238
wbcmartez,wbcgenghis,1,0.5436,0.6,0.1941,0.9324,0.7383,0.0564
wbcmartez,wbclasek,1,0.5168,0.6,0.1941,0.9324,0.7383,0.0832
wbcmartez,wbcfojtman,1,0.5755,0.6,0.1941,0.9324,0.7383,0.0245
wbcmartez,wbcpiggi,1,0.599,0.6,0.1941,0.9324,0.7383,0.001
wbcmartez,wbctasemnice,1,0.5456,0.6,0.1941,0.9324,0.7383,0.0544
wbcmartez,wbcmichi,1,0.5662,0.6,0.1941,0.9324,0.7383,0.0338
wbcmartez,wbcg3m,1,0.4431,0.4,0.0676,0.8059,0.7383,-0.0431
wbcmartez,wbcbeetle,1,0.4579,0.4,0.0676,0.8059,0.7383,-0.0579
wbcmartez,wbcpuholek,1,0.4481,0.4,0.0676,0.8059,0.7383,-0.0481
wbcmartez,wbcquantum,1,0.4672,0.4,0.0676,0.8059,0.7383,-0.0672
wbcmatiss,wbcalleb,1,0.5277,0.6,0.1941,0.9324,0.7383,0.0723
wbcmatiss,wbcfurla,1,0.5171,0.6,0.1941,0.9324,0.7383,0.0829
wbcmatiss,wbcmk108,1,0.5456,0.6,0.1941,0.9324,0.7383,0.0544
wbcmatiss,wbcpangbai,1,0.5586,0.6,0.1941,0.9324,0.7383,0.0414
wbcmatiss,wbcuida,1,0.5972,0.6,0.1941,0.9324,0.7383,0.0028
wbcmatiss,wbcyu20,1,0.5471,0.6,0.1941,0.9324,0.7383,0.0529
wbcmichi,wbcadelstepan,1,0.5128,0.6,0.1941,0.9324,0.7383,0.0872
wbcmichi,wbcpurkys,1,0.5422,0.6,0.1941,0.9324,0.7383,0.0578
wbcmichi,wbcskoupy,1,0.5365,0.6,0.1941,0.9324,0.7383,0.0635
wbcmichi,wbcdeafbat,1,0.4667,0.4,0.0676,0.8059,0.7383,-0.0667
wbcmichi,wbc3ifndef,1,0.4345,0.4,0.0676,0.8059,0.7383,-0.0345
wbcmichi,wbciwbtc,1,0.4355,0.4,0.0676,0.8059,0.7383,-0.0355
wbcmichi,wbcmartez,1,0.4338,0.4,0.0676,0.8059,0.7383,-0.0338
wbcmichi,wbcshpek,1,0.4657,0.4,0.0676,0.8059,0.7383,-0.0657
wbcmichi,wbcvotocek,1,0.4904,0.4,0.0676,0.8059,0.7383,-0.0904
wbcmk108,wbcangst,1,0.5525,0.6,0.1941,0.9324,0.7383,0.0475
wbcmk108,wbcashot,1,0.505,0.6,0.1941,0.9324,0.7383,0.095
wbcmk108,wbccrosslet,1,0.583,0.6,0.1941,0.9324,0.7383,0.017
wbcmk108,wbcsiwer,1,0.5309,0.6,0.1941,0.9324,0.7383,0.0691
wbcmk108,wbcheater,1,0.4935,0.4,0.0676,0.8059,0.7383,-0.0935
wbcmk108,wbcmatiss,1,0.4544,0.4,0.0676,0.8059,0.7383,-0.0544
wbcmulan,wbclasek,1,0.4173,0.4,0.0676,0.8059,0.7383,-0.0173
wbcmulan,wbcnirvana,1,0.4659,0.4,0.0676,0.8059,0.7383,-0.0659
wbcmulan,wbcrostas,1,0.4435,0.4,0.0676,0.8059,0.7383,-0.0435
wbcnguyenminh,wbcadelstepan,1,0.6182,0.6,0.1941,0.9324,0.7383,-0.0182
wbcnguyenminh,wbcasz,1,0.6157,0.6,0.1941,0.9324,0.7383,-0.0157
wbcnguyenminh,wbcdistilfire,1,0.6179,0.6,0.1941,0.9324,0.7383,-0.0179
wbcnguyenminh,wbclojzeidon,1,0.5621,0.6,0.1941,0.9324,0.7383,0.0379
wbcnguyenminh,wbcnirvana,1,0.6056,0.6,0.1941,0.9324,0.7383,-0.0056
wbcnguyenminh,wbcrostas,1,0.5838,0.6,0.1941,0.9324,0.7383,0.0162
wbcnguyenminh,wbcvotocek,1,0.5968,0.6,0.1941,0.9324,0.7383,0.0032
wbcnguyenminh,wbcperoxid,1,0.6369,0.5,0.0943,0.9057,0.8114,-0.1369
wbcnirvana,wbccsaba,1,0.5641,0.6,0.1941,0.9324,0.7383,0.0359
wbcnirvana,wbckaktuszka,1,0.5647,0.6,0.1941,0.9324,0.7383,0.0353
wbcnirvana,wbcmulan,1,0.5341,0.6,0.1941,0.9324,0.7383,0.0659
wbcnirvana,wbctorpe,1,0.5648,0.6,0.1941,0.9324,0.7383,0.0352
wbcnirvana,wbc3ifndef,1,0.4349,0.4,0.0676,0.8059,0.7383,-0.0349
wbcnirvana,wbcciaran,1,0.4156,0.4,0.0676,0.8059,0.7383,-0.0156
